    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     615       4157.13     1.0924   5.670E+00   1.4000   0.2200   5.204E-17   4.85124983E+00   1.20693763E+01
     620       4185.48     0.7039   5.639E+00   1.4000   0.2281   4.337E-17   4.85038132E+00   1.20675706E+01
     625       4211.21     1.0921   5.573E+00   1.4000   0.1920   4.597E-17   4.84959684E+00   1.20658326E+01
     630       4239.21     0.6976   5.644E+00   1.4000   0.1749   4.792E-17   4.84874737E+00   1.20633879E+01
     635       4265.71     1.0838   5.784E+00   1.4000   0.2044   4.337E-17   4.84794714E+00   1.20608504E+01
     640       4294.42     0.7397   5.753E+00   1.4000   0.1775   4.207E-17   4.84708424E+00   1.20579276E+01
     645          4320     0.7031   5.701E+00   1.4000   0.1807   4.337E-17   4.84631872E+00   1.20557769E+01
     650        4348.5     1.1295   5.565E+00   1.4000   0.1674   4.510E-17   4.84546917E+00   1.20534756E+01
     655       4376.17     0.6962   3.834E+00   0.9967   0.1210   4.337E-17   4.84464722E+00   1.20510586E+01
     660       4401.58     1.1152   5.380E+00   1.4000   0.2001   4.684E-17   4.84389447E+00   1.20482005E+01
     665       4428.44     0.7184   5.378E+00   1.4000   0.2041   5.117E-17   4.84310087E+00   1.20441496E+01
     670       4450.86     1.1022   5.419E+00   1.4000   0.1937   4.640E-17   4.84243965E+00   1.20402917E+01
     675       4478.55     0.7209   5.714E+00   1.4000   0.1893   4.424E-17   4.84162397E+00   1.20353012E+01
     680       4505.69     1.0963   5.791E+00   1.4000   0.1879   4.884E-17   4.84082609E+00   1.20310751E+01
     685       4534.83     0.7227   5.958E+00   1.4000   0.1777   4.467E-17   4.83997177E+00   1.20274894E+01
     690          4560     0.7115   5.810E+00   1.4000   0.1980   4.857E-17   4.83923643E+00   1.20255995E+01
     695       4588.28     1.0906   5.567E+00   1.4000   0.2271   4.510E-17   4.83841389E+00   1.20244890E+01
     700       4615.87     0.7275   4.130E+00   1.0427   0.1820   4.510E-17   4.83761628E+00   1.20242215E+01
     705       4642.09     1.0793   5.468E+00   1.4000   0.2320   4.380E-17   4.83686298E+00   1.20242611E+01
     710       4669.47     0.7101   5.489E+00   1.4000   0.1949   4.288E-17   4.83608129E+00   1.20239794E+01
     715       4696.67     1.0806   5.600E+00   1.4000   0.1806   4.684E-17   4.83530986E+00   1.20228554E+01
     720       4724.98     0.7386   5.690E+00   1.4000   0.1808   4.424E-17   4.83451158E+00   1.20200605E+01
     725       4751.32     1.1158   5.661E+00   1.4000   0.1905   4.597E-17   4.83377255E+00   1.20162495E+01
     730       4780.16     0.7116   5.902E+00   1.4000   0.1943   4.510E-17   4.83296649E+00   1.20109345E+01
     735       4806.04     1.0438   6.118E+00   1.4000   0.2297   4.684E-17   4.83224505E+00   1.20059029E+01
     740       4836.91     0.7312   6.085E+00   1.4000   0.2438   4.703E-17   4.83138625E+00   1.20002107E+01
     745       4865.88     1.0323   5.734E+00   1.4000   0.2054   4.933E-17   4.83058167E+00   1.19963587E+01
     750       4894.47     0.7408   5.678E+00   1.4000   0.1915   4.597E-17   4.82978944E+00   1.19940512E+01
     755          4920     0.7096   5.458E+00   1.4000   0.1828   3.816E-17   4.82908428E+00   1.19931371E+01
     760       4947.17     1.1243   5.344E+00   1.4000   0.1740   4.467E-17   4.82833722E+00   1.19921563E+01
     765       4974.24     0.8497   5.468E+00   1.4000   0.1871   5.204E-17   4.82759660E+00   1.19903454E+01
     770       4996.43     1.0949   5.527E+00   1.4000   0.1796   4.792E-17   4.82699228E+00   1.19877725E+01
     775       5023.51     0.7234   5.327E+00   1.4000   0.1786   4.575E-17   4.82625775E+00   1.19834152E+01
     780       5045.21     1.0383   5.236E+00   1.4000   0.1911   4.857E-17   4.82567126E+00   1.19792521E+01
     785       5071.23     0.6952   5.351E+00   1.4000   0.2208   4.684E-17   4.82496991E+00   1.19737468E+01
     790        5098.3     0.7397   1.701E+00   0.4257   0.0731   4.640E-17   4.82424212E+00   1.19675844E+01
     795       5122.13     1.0990   5.487E+00   1.4000   0.2287   4.337E-17   4.82360322E+00   1.19618171E+01
     800       5149.97     0.7301   5.595E+00   1.4000   0.2035   4.185E-17   4.82285923E+00   1.19545989E+01
     805        5176.9     1.1198   5.789E+00   1.4000   0.2187   4.337E-17   4.82214296E+00   1.19476336E+01
     810        5206.4     0.7229   6.102E+00   1.4000   0.2251   4.597E-17   4.82136286E+00   1.19402491E+01
     815       5232.38     1.1227   6.175E+00   1.4000   0.2159   5.551E-17   4.82068011E+00   1.19347158E+01
     820          5264     0.7150   6.468E+00   1.4000   0.2389   4.760E-17   4.81985455E+00   1.19293033E+01
     825        5292.8     1.0638   6.411E+00   1.4000   0.2180   5.334E-17   4.81910827E+00   1.19256352E+01
     830       5324.77     0.7094   6.455E+00   1.4000   0.2037   4.554E-17   4.81828546E+00   1.19219397E+01
     835       5353.05     1.1070   6.377E+00   1.4000   0.2009   4.944E-17   4.81756207E+00   1.19185233E+01
     840       5384.79     0.7498   6.182E+00   1.4000   0.1835   4.944E-17   4.81675557E+00   1.19139057E+01
     845       5412.49     1.1080   6.269E+00   1.4000   0.1776   4.667E-17   4.81605540E+00   1.19094360E+01
     850       5444.84     0.8207   6.595E+00   1.4000   0.1794   5.551E-17   4.81524172E+00   1.19035918E+01
     855       5472.73     1.2313   6.367E+00   1.4000   0.1777   4.684E-17   4.81454297E+00   1.18991219E+01
