    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     805       8889.93     0.4872   9.913E+00   1.4000   0.2990   2.429E-17   4.75763300E+00   1.16863793E+01
     810       8938.97     0.4206   1.031E+00   0.1477   0.0306   2.472E-17   4.75628356E+00   1.16856466E+01
     815       8978.65     0.4890   9.538E+00   1.4000   0.3035   2.559E-17   4.75519240E+00   1.16851050E+01
     820       9019.35     0.4801   9.719E+00   1.4000   0.3125   2.862E-17   4.75407342E+00   1.16845900E+01
     825          9060     0.4295   9.440E+00   1.4000   0.3192   2.147E-17   4.75295484E+00   1.16842122E+01
     830       9107.49     0.5788   9.273E+00   1.4000   0.3115   2.689E-17   4.75164538E+00   1.16838247E+01
     835       9147.04     0.5707   8.912E+00   1.4000   0.2861   2.342E-17   4.75055103E+00   1.16834190E+01
     840       9188.61     0.4733   8.535E+00   1.4000   0.2746   2.429E-17   4.74939624E+00   1.16825768E+01
     845       9231.53     0.4065   8.468E+00   1.3530   0.2597   2.776E-17   4.74819774E+00   1.16809091E+01
     850       9275.43     0.4774   9.062E+00   1.4000   0.2990   2.515E-17   4.74696586E+00   1.16780828E+01
     855       9319.26     0.4898   9.587E+00   1.4000   0.3293   2.776E-17   4.74573017E+00   1.16739437E+01
     860          9360     0.4059   9.401E+00   1.4000   0.3106   2.776E-17   4.74457842E+00   1.16691231E+01
     865       9407.82     0.4944   9.569E+00   1.4000   0.3322   2.776E-17   4.74322443E+00   1.16629750E+01
     870        9448.7     0.4976   9.563E+00   1.4000   0.3683   2.548E-17   4.74206741E+00   1.16579926E+01
     875       9489.65     0.4805   9.633E+00   1.4000   0.3196   2.776E-17   4.74091006E+00   1.16533607E+01
     880       9538.32     0.3919   1.678E+00   0.2394   0.0561   2.483E-17   4.73953832E+00   1.16481002E+01
     885       9578.84     0.4742   9.591E+00   1.4000   0.3233   2.689E-17   4.73840095E+00   1.16440065E+01
     890       9618.94     0.4885   9.352E+00   1.4000   0.3421   2.776E-17   4.73728037E+00   1.16402930E+01
     895          9660     0.4166   9.351E+00   1.4000   0.3085   2.689E-17   4.73613826E+00   1.16368191E+01
     900       9707.34     0.4783   9.371E+00   1.4000   0.3051   2.624E-17   4.73482910E+00   1.16328611E+01
     905       9747.84     0.4837   9.266E+00   1.4000   0.3212   2.472E-17   4.73371485E+00   1.16293889E+01
     910       9788.88     0.4832   8.909E+00   1.4000   0.3003   2.299E-17   4.73259161E+00   1.16254752E+01
     915       9833.68     0.4208   6.319E+00   0.9879   0.2284   2.602E-17   4.73137195E+00   1.16204502E+01
     920       9875.65     0.4942   9.151E+00   1.4000   0.3401   2.992E-17   4.73023551E+00   1.16152109E+01
     925       9918.33     0.4758   9.298E+00   1.4000   0.3423   2.559E-17   4.72908554E+00   1.16094410E+01
     930          9960     0.4028   9.534E+00   1.4000   0.3317   2.342E-17   4.72796872E+00   1.16035975E+01
     935       10007.4     0.4830   9.643E+00   1.4000   0.3215   2.342E-17   4.72670783E+00   1.15969202E+01
