    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     535       6550.27     0.3782   1.036E+01   1.4000   0.3196   2.255E-17   4.81598273E+00   1.18537250E+01
     540          6600     0.1980   1.058E+01   1.4000   0.3057   2.602E-17   4.81460768E+00   1.18514001E+01
     545       6653.43     0.3899   6.567E+00   0.8353   0.1843   2.436E-17   4.81313188E+00   1.18477829E+01
     550       6703.31     0.3741   1.117E+01   1.4000   0.3340   2.396E-17   4.81175844E+00   1.18438965E+01
     555       6753.06     0.3914   1.133E+01   1.4000   0.3378   2.342E-17   4.81039400E+00   1.18399424E+01
     560       6802.68     0.3832   1.148E+01   1.4000   0.3230   2.190E-17   4.80903885E+00   1.18361294E+01
     565       6851.24     0.3486   1.119E+01   1.4000   0.3024   2.011E-17   4.80771700E+00   1.18325300E+01
     570          6900     0.1973   1.089E+01   1.4000   0.2966   2.255E-17   4.80639235E+00   1.18291764E+01
     575       6953.97     0.3929   6.029E+00   0.8148   0.1719   2.429E-17   4.80492840E+00   1.18258369E+01
     580       7001.34     0.4033   1.033E+01   1.4000   0.2986   2.255E-17   4.80364628E+00   1.18234002E+01
     585       7050.39     0.3692   1.015E+01   1.4000   0.2789   2.255E-17   4.80232346E+00   1.18211786E+01
     590        7100.6     0.3862   1.022E+01   1.4000   0.2822   2.255E-17   4.80097804E+00   1.18189043E+01
     595       7150.21     0.4836   1.028E+01   1.4000   0.3189   2.515E-17   4.79965901E+00   1.18162583E+01
     600          7200     0.3295   1.077E+01   1.4000   0.3351   2.483E-17   4.79834778E+00   1.18128821E+01
     605       7252.84     0.4005   7.157E+00   0.9664   0.2302   2.559E-17   4.79697013E+00   1.18085268E+01
     610       7299.64     0.4308   9.770E+00   1.4000   0.3134   2.212E-17   4.79576036E+00   1.18041843E+01
     615       7339.03     0.4041   9.409E+00   1.4000   0.2673   2.385E-17   4.79474703E+00   1.17997091E+01
     620          7380     0.2206   9.312E+00   1.4000   0.2739   2.602E-17   4.79369593E+00   1.17941021E+01
     625       7426.41     0.3729   9.630E+00   1.4000   0.2882   2.689E-17   4.79250599E+00   1.17864580E+01
     630        7468.9     0.3883   9.837E+00   1.4000   0.2931   2.667E-17   4.79141496E+00   1.17785523E+01
     635       7509.81     0.3803   9.821E+00   1.4000   0.3177   2.624E-17   4.79036267E+00   1.17704371E+01
     640       7558.76     0.2032   1.245E+00   0.1784   0.0401   2.082E-17   4.78910043E+00   1.17605499E+01
     645       7599.58     0.3957   1.004E+01   1.4000   0.2944   2.480E-17   4.78804483E+00   1.17521161E+01
     650       7640.62     0.3569   1.047E+01   1.4000   0.3182   2.082E-17   4.78698101E+00   1.17432453E+01
     655       7690.47     0.3786   1.086E+01   1.4000   0.3138   2.299E-17   4.78568614E+00   1.17326205E+01
     660          7740     0.2236   1.048E+01   1.4000   0.2823   2.385E-17   4.78439705E+00   1.17236759E+01
     665       7791.11     0.3782   8.887E+00   1.2175   0.2496   2.212E-17   4.78306375E+00   1.17167020E+01
     670       7840.71     0.3840   1.025E+01   1.4000   0.3055   2.082E-17   4.78176594E+00   1.17113581E+01
     675       7891.14     0.3872   1.038E+01   1.4000   0.2966   2.299E-17   4.78044126E+00   1.17065675E+01
     680       7940.98     0.3858   1.035E+01   1.4000   0.2837   2.255E-17   4.77912550E+00   1.17027374E+01
     685       7990.46     0.3642   1.010E+01   1.4000   0.2538   2.320E-17   4.77781225E+00   1.17003104E+01
     690          8040     0.1847   9.824E+00   1.4000   0.2487   1.930E-17   4.77648918E+00   1.16990982E+01
     695       8088.36     0.3749   9.207E+00   1.4000   0.2272   2.776E-17   4.77518953E+00   1.16985254E+01
     700       8127.56     0.3860   9.181E+00   1.4000   0.2207   2.467E-17   4.77412971E+00   1.16982760E+01
     705       8169.34     0.3883   9.005E+00   1.4000   0.2241   2.342E-17   4.77299460E+00   1.16980148E+01
     710       8215.18     0.2069   4.821E+00   0.7227   0.1279   2.472E-17   4.77174210E+00   1.16973945E+01
     715       8257.33     0.3761   9.352E+00   1.4000   0.2689   2.960E-17   4.77058433E+00   1.16963387E+01
     720       8299.21     0.3858   9.744E+00   1.4000   0.2913   2.190E-17   4.76942873E+00   1.16946873E+01
     725          8340     0.2154   9.938E+00   1.4000   0.3078   2.559E-17   4.76829951E+00   1.16925316E+01
     730       8390.35     0.3924   9.651E+00   1.3219   0.2911   2.168E-17   4.76690358E+00   1.16894014E+01
     735       8440.99     0.3890   1.027E+01   1.4000   0.3126   2.429E-17   4.76550287E+00   1.16857616E+01
     740       8491.66     0.3834   1.062E+01   1.4000   0.3258   2.342E-17   4.76411025E+00   1.16814793E+01
     745       8541.66     0.3872   1.063E+01   1.4000   0.3275   2.385E-17   4.76274749E+00   1.16770330E+01
     750       8590.56     0.3795   1.049E+01   1.4000   0.3375   2.689E-17   4.76142687E+00   1.16733476E+01
     755          8640     0.2121   1.030E+01   1.4000   0.3248   2.125E-17   4.76010480E+00   1.16707827E+01
     760       8691.14     0.3838   8.864E+00   1.2230   0.2803   2.255E-17   4.75875089E+00   1.16689632E+01
     765       8739.98     0.3614   9.862E+00   1.4000   0.2938   2.282E-17   4.75747049E+00   1.16675494E+01
     770       8778.77     0.3755   9.286E+00   1.4000   0.2961   2.472E-17   4.75646255E+00   1.16663623E+01
     775          8820     0.2018   8.785E+00   1.4000   0.2914   2.559E-17   4.75539903E+00   1.16650374E+01
     780        8864.3     0.4083   9.243E+00   1.4000   0.3011   2.136E-17   4.75426283E+00   1.16631478E+01
     785       8908.48     0.3701   9.444E+00   1.4000   0.3302   3.079E-17   4.75313204E+00   1.16606078E+01
     790       8949.52     0.4087   9.562E+00   1.4000   0.3025   2.645E-17   4.75207932E+00   1.16576006E+01
     795       8998.02     0.2188   1.983E+00   0.2815   0.0668   2.602E-17   4.75082648E+00   1.16531072E+01
     800       9039.76     0.3704   9.773E+00   1.4000   0.2974   2.689E-17   4.74973627E+00   1.16487270E+01
     805       9079.27     0.4011   9.502E+00   1.4000   0.2897   3.014E-17   4.74869097E+00   1.16444013E+01
     810          9120     0.2071   9.422E+00   1.4000   0.2843   2.602E-17   4.74759834E+00   1.16399785E+01
     815       9167.09     0.3761   9.479E+00   1.4000   0.2859   2.374E-17   4.74631443E+00   1.16347967E+01
     820       9208.68     0.3788   9.732E+00   1.4000   0.3038   2.461E-17   4.74516289E+00   1.16300091E+01
     825       9249.95     0.3809   1.003E+01   1.4000   0.3409   2.510E-17   4.74400686E+00   1.16248603E+01
     830          9300     0.2017   1.031E+01   1.4000   0.3209   2.429E-17   4.74259341E+00   1.16182782E+01
     835       9352.01     0.3969   7.986E+00   1.0645   0.2532   2.472E-17   4.74111973E+00   1.16114596E+01
     840       9402.11     0.3928   1.050E+01   1.4000   0.3213   2.472E-17   4.73970295E+00   1.16052355E+01
     845       9451.43     0.3650   1.033E+01   1.4000   0.3262   2.851E-17   4.73831481E+00   1.15995083E+01
     850       9499.69     0.4007   9.597E+00   1.4000   0.3069   2.515E-17   4.73696555E+00   1.15944269E+01
